candidate_id,raw_detection_id,confidence,source_detection_count,tile_name,prediction_index,width_m,height_m,box_area_m2,map_x_min,map_y_min,map_x_max,map_y_max,advisor_label,advisor_notes
C3469,R1600,0.1141304448246955,1,38SMB_00692_r3840_c4800,3,552.1380615234375,546.3846206665039,301679.7453010222,449325.2053833008,3660602.9443359375,449877.3434448242,3661149.328956604,,
C3470,R3645,0.1141278371214866,1,38SMB_01384_r7680_c9600,10,315.37689208984375,969.68505859375,305816.2600852549,496000.0,3622140.5922698975,496315.37689208984,3623110.277328491,,
C3471,R2906,0.1141064316034317,1,38SMB_01210_r6720_c8160,4,803.397216796875,524.3249893188477,421241.2371158134,483043.22052001953,3632275.106124878,483846.6177368164,3632799.431114197,,
C3472,R4420,0.1141017079353332,1,38SMB_01573_r8880_c4560,5,98.21822166442871,529.2457580566406,51981.577179765736,445600.0,3609679.848022461,445698.2182216644,3610209.0937805176,,
C3473,R2062,0.114097811281681,1,38SMB_00865_r4800_c6000,1,391.7303466796875,181.21002197265625,70985.46472918242,461474.86572265625,3651818.7899780273,461866.59606933594,3652000.0,,
C3474,R1770,0.1140805557370185,1,38SMB_00766_r4320_c2400,6,547.584228515625,574.0005493164062,314313.6479649693,425421.10107421875,3655597.5273132324,425968.6853027344,3656171.527862549,,
C3475,R1204,0.1140657663345336,1,38SMB_00550_r3120_c960,2,602.9078674316406,101.9773006439209,61482.91685766162,412102.2233581543,3668698.022699356,412705.13122558594,3668800.0,,
C3476,R1412,0.1140255257487297,1,38SMB_00639_r3600_c2160,3,601.0980224609375,580.7915878295898,349112.67490631435,423150.0485229492,3662906.9345092773,423751.14654541016,3663487.726097107,,
C3477,R0953,0.1139724552631378,1,38SMB_00440_r2400_c4800,4,480.859375,649.9835205078125,312550.6694316864,448000.0,3673922.897796631,448480.859375,3674572.8813171387,,
C3478,R0519,0.1139555647969245,1,38SMB_00260_r1440_c1920,6,298.5498046875,221.5570068359375,66145.80111801624,422098.3901977539,3682400.609741211,422396.9400024414,3682622.166748047,,
C3479,R0723,0.1139453575015068,1,38SMB_00354_r1920_c4320,2,714.4564819335938,880.0192260742188,628735.4402949102,445292.90954589844,3678606.248474121,446007.36602783203,3679486.2677001953,,
C3480,R0646,0.113827921450138,1,38SMB_00338_r1920_c480,3,98.41634750366211,598.6785888671875,58919.76004495518,404800.0,3677604.9450683594,404898.41634750366,3678203.6236572266,,
C3481,R2410,0.1137886941432952,1,38SMB_01040_r5760_c7680,4,398.17962646484375,498.114013671875,198338.85190077126,476800.0,3640501.75201416,477198.17962646484,3640999.866027832,,
C3482,R1341,0.1137604191899299,1,38SMB_00601_r3360_c3120,8,160.6207275390625,449.0641784667969,72129.01505706832,434239.37927246094,3665950.115585327,434400.0,3666399.179763794,,
C3483,R3296,0.1135983541607856,1,38SMB_01315_r7440_c3120,6,509.32952880859375,546.3226318359375,278258.2486504689,432558.31146240234,3623653.9797973633,433067.64099121094,3624200.302429199,,
C3484,R4804,0.1135927438735961,2,38SMB_01688_r9600_c1920,7,712.9057312011719,670.7675170898438,478194.0072369296,419713.92028808594,3601851.6494750977,420426.8260192871,3602522.4169921875,,
C3485,R1365,0.1135880947113037,1,38SMB_00605_r3360_c4080,6,311.86832427978516,566.9119262695312,176801.87245990383,440800.0,3664497.0288085938,441111.8683242798,3665063.9407348633,,
C3486,R0392,0.113540418446064,1,38SMB_00183_r960_c3600,1,122.27294921875,469.000244140625,57346.04303538799,439077.6467895508,3688606.694946289,439199.91973876953,3689075.6951904297,,
C3487,R0813,0.1135010719299316,1,38SMB_00392_r2160_c3360,3,194.99530792236328,572.8234100341797,111697.87722475303,433600.0,3676555.086364746,433794.99530792236,3677127.9097747803,,
C3488,R3823,0.1133810952305793,1,38SMB_01425_r7920_c9360,4,834.7392272949219,1008.6541748046875,841963.2064842619,493601.0385131836,3617604.467163086,494435.7777404785,3618613.1213378906,,
C3489,R1465,0.1133476346731185,1,38SMB_00648_r3600_c4320,4,572.8121948242188,308.9215087890625,176954.00747787207,443617.419052124,3660800.6091308594,444190.23124694824,3661109.5306396484,,
C3490,R4250,0.1133436113595962,1,38SMB_01528_r8640_c3840,5,635.8331298828125,870.8858489990234,553738.0751396995,439238.30947875977,3612729.114151001,439874.1426086426,3613600.0,,
C3491,R1669,0.1133327856659889,1,38SMB_00725_r4080_c2640,5,160.0421142578125,767.8373718261719,122886.31639322266,429439.6029663086,3657544.0518188477,429599.6450805664,3658311.889190674,,
C3492,R3657,0.1132655292749404,1,38SMB_01388_r7920_c480,4,212.68646240234375,422.5244140625,89865.22290557623,407787.31353759766,3618296.9662475586,408000.0,3618719.490661621,,
C3493,R0493,0.11326365172863,1,38SMB_00243_r1200_c7920,1,515.0325012207031,612.4893188476562,315451.90585707314,479572.34130859375,3685958.4548950195,480087.37380981445,3686570.944213867,,
