candidate_id,kept_raw_detection_id,suppressed_raw_detection_id,suppressed_tile_name,suppressed_confidence,iou_with_kept_candidate
C0287,R0677,R0586,38SMB_00302_r1680_c1920,0.6623472571372986,0.9892143975095821
C0287,R0677,R0686,38SMB_00345_r1920_c2160,0.6110396981239319,0.9297005825287438
C0287,R0677,R0607,38SMB_00303_r1680_c2160,0.5638214945793152,0.9220725461120417
C0291,R1847,R1937,38SMB_00815_r4560_c4080,0.536213755607605,0.7680684761107498
C0292,R1489,R1480,38SMB_00653_r3600_c5520,0.6547727584838867,0.9582379137359716
C0293,R2902,R2908,38SMB_01211_r6720_c8400,0.6227692365646362,0.9619643055632348
C0296,R0052,R0061,38SMB_00006_r0_c1440,0.6626561880111694,0.9891020964654634
C0298,R1657,R1664,38SMB_00725_r4080_c2640,0.5253666639328003,0.7738454203922136
C0300,R0745,R0640,38SMB_00337_r1920_c240,0.6564750075340271,0.8725045881877561
C0302,R4358,R4533,38SMB_01609_r9120_c3120,0.6382097005844116,0.9479397109768474
C0305,R0336,R0417,38SMB_00191_r960_c5520,0.6027317643165588,0.7806851617859601
C0305,R0336,R0338,38SMB_00150_r720_c5760,0.527213454246521,0.7326521610844657
C0307,R2923,R2922,38SMB_01214_r6720_c9120,0.6561166644096375,0.9785710937945458
C0309,R2722,R2857,38SMB_01195_r6720_c4560,0.660301148891449,0.9604980689271247
C0309,R2722,R2867,38SMB_01196_r6720_c4800,0.5840938687324524,0.9608428765011316
C0309,R2722,R2735,38SMB_01154_r6480_c4800,0.5676045417785645,0.9561631216431612
C0311,R1369,R1359,38SMB_00605_r3360_c4080,0.6289798021316528,0.9281634767843139
C0311,R1369,R1461,38SMB_00648_r3600_c4320,0.6168177723884583,0.9720039113020164
C0311,R1369,R1456,38SMB_00647_r3600_c4080,0.5721754431724548,0.9141306824755157
C0313,R4405,R4260,38SMB_01530_r8640_c4320,0.5061935186386108,0.717072147874067
C0314,R0920,R0929,38SMB_00433_r2400_c3120,0.655298113822937,0.9929345932225861
C0319,R3427,R3624,38SMB_01383_r7680_c9360,0.5306103825569153,0.8259459907130461
C0322,R3808,R3992,38SMB_01461_r8160_c7920,0.6347257494926453,0.9795390045969715
C0323,R1263,R1371,38SMB_00606_r3360_c4320,0.6080512404441833,0.7441751072937619
C0325,R1559,R1437,38SMB_00644_r3600_c3360,0.6463723182678223,0.7769235675203781
C0327,R1543,R1429,38SMB_00643_r3600_c3120,0.5899311900138855,0.7920229395932209
C0328,R3593,R3404,38SMB_01330_r7440_c6720,0.6513476967811584,0.991154650221808
C0329,R0426,R0496,38SMB_00257_r1440_c1200,0.5974445939064026,0.8216935270245926
C0331,R1148,R1150,38SMB_00520_r2880_c3840,0.5991414189338684,0.8751884516348349
C0334,R1031,R1022,38SMB_00470_r2640_c1920,0.5802869200706482,0.9406034049190868
