polygon_id,area_m2,tile_instances,matched_instances,detected,maximum_matched_confidence,maximum_matched_iou,size_class
1037,13972.495384794782,1,0,False,,,small
1038,187173.57305615008,1,0,False,,,large
1043,67366.9294769762,1,1,True,0.2398937344551086,0.6929005649561376,medium
1053,119868.10798974334,1,1,True,0.3674072325229645,0.747214597246354,medium
1058,67892.38861968221,1,1,True,0.4565011262893677,0.6720299701519173,medium
1059,50878.23237220999,1,0,False,,,medium
1063,125555.61934087555,1,0,False,,,medium
1067,26947.43848384871,1,0,False,,,medium
1069,15975.01780058441,2,0,False,,,small
1076,109166.73061874404,1,1,True,0.1006293445825576,0.6673843470212449,medium
1077,26894.63243094279,1,0,False,,,medium
1083,228380.7073835016,1,0,False,,,large
1085,9530.4305648951,1,0,False,,,small
1089,4809.016994377382,2,0,False,,,small
1094,50489.58746112819,1,0,False,,,medium
1096,539216.9066353627,2,2,True,0.2920574843883514,0.7747630018543388,large
1098,23937.04408630202,2,0,False,,,medium
1104,113951.7971597399,1,0,False,,,medium
1106,18512.181992350943,2,0,False,,,medium
1112,12020.190440356024,2,0,False,,,small
1120,22358.86746334144,2,0,False,,,medium
1138,57202.178557492894,1,0,False,,,medium
1145,14721.051479018164,2,0,False,,,small
1152,256438.49960946408,2,0,False,,,large
1160,8792.44923336134,1,0,False,,,small
1185,139877.04864384845,1,1,True,0.4936714768409729,0.5663189304798169,large
1199,14899.170978027252,1,0,False,,,small
1207,38997.74175286007,2,0,False,,,medium
1208,8098.42916217991,1,0,False,,,small
1213,89734.77002066569,1,0,False,,,medium
1214,5509.016994377382,1,0,False,,,small
1217,169750.92969812863,1,0,False,,,large
1233,5509.016994377382,1,0,False,,,small
1237,4809.016994377382,1,0,False,,,small
1239,6274.325243408479,1,0,False,,,small
1243,76856.45413797276,2,2,True,0.1572878509759903,0.6895799483494404,medium
1252,7566.061559860667,2,0,False,,,small
1255,121589.83226164895,1,1,True,0.1706650555133819,0.618952453322144,medium
1257,85623.26999967608,2,0,False,,,medium
